Country,Temperature
Afghanistan,18.1
Albania,22.2
Algeria,22.8
Andorra,11.1
Angola,27.1
Antigua and Barbuda,27.0
Argentina,15.1
Armenia,18.4
Australia,12.4
Austria,14.6
Azerbaijan,19.0
Bahamas,25.3
Bahrain,29.7
Bangladesh,29.9
Barbados,27.6
Belarus,12.1
Belgium,13.0
Belize,23.0
Benin,29.6
Bhutan,11.5
Bolivia,18.0
Bosnia and Herzegovina,15.9
Botswana,27.3
Brazil,25.8
Brunei,28.1
Bulgaria,17.8
Burkina Faso,30.4
Burundi,27.4
Cambodia,30.5
Cameroon,26.1
Canada,6.0
Central African Republic,31.1
Chad,31.6
Chile,11.0
China,15.6
Colombia,13.5
Comoros,26.2
Costa Rica,18.7
Croatia,16.4
Cuba,23.7
Cyprus,26.0
Czech Republic,12.8
Democratic Republic of the Congo,29.3
Denmark,12.0
Djibouti,32.1
Dominica,27.1
Dominican Republic,24.7
Ecuador,10.8
Egypt,27.8
El Salvador,22.6
Equatorial Guinea,27.8
Eritrea,21.2
Estonia,10.9
Ethiopia,21.0
Finland,10.6
France,14.1
Gabon,28.0
Gambia,26.9
Georgia,18.3
Germany,13.9
Ghana,28.7
Greece,23.5
Grenada,27.5
Guatemala,17.1
Guinea,26.9
Guinea-Bissau,27.3
Guyana,25.2
Haiti,23.2
Honduras,18.7
Hungary,16.1
Iceland,5.8
India,30.2
Indonesia,27.0
Iran,19.2
Iraq,30.8
Ireland,11.6
Israel,24.0
Italy,21.0
Jamaica,27.3
Japan,18.7
Jordan,23.4
Kazakhstan,7.2
Kenya,23.8
Kiribati,28.0
Kuwait,31.7
Laos,25.0
Latvia,12.2
Lebanon,23.9
Lesotho,22.3
Liberia,27.3
Libya,27.0
Liechtenstein,11.2
Lithuania,11.8
Luxembourg,11.6
Madagascar,27.8
Malawi,26.4
Malaysia,28.6
Maldives,27.9
Mali,29.0
Malta,23.4
Marshall Islands,28.2
Mauritania,24.7
Mauritius,26.4
Mexico,13.9
Monaco,18.8
Mongolia,1.2
Montenegro,20.6
Morocco,21.0
Mozambique,27.7
Myanmar,29.7
Namibia,26.3
Nepal,21.5
Netherlands,13.1
New Zealand,13.2
Nicaragua,24.2
Niger,31.5
Nigeria,29.8
North Korea,11.9
Norway,7.7
Oman,30.8
Pakistan,28.0
Palau,27.6
Panama,25.6
Papua New Guinea,26.2
Paraguay,21.9
Peru,17.7
Philippines,29.1
Poland,14.0
Portugal,18.6
Qatar,32.1
Romania,18.0
Rwanda,26.3
Saint Kitts and Nevis,27.3
Saint Lucia,27.5
Saint Vincent and the Grenadines,28.0
Samoa,25.6
San Marino,18.2
Saudi Arabia,32.1
Senegal,25.7
Serbia,17.6
Sierra Leone,27.0
Singapore,28.8
Slovakia,15.0
Slovenia,14.8
Solomon Islands,26.2
Somalia,28.8
South Africa,24.1
South Korea,14.2
Spain,18.2
Sri Lanka,29.5
Sudan,31.4
Suriname,25.2
Sweden,11.3
Switzerland,13.0
Syria,24.7
Tajikistan,21.2
"Tanzania, United Republic of",27.8
Thailand,29.9
Timor-Leste,25.9
Togo,27.9
Tonga,23.4
Trinidad and Tobago,26.1
Tunisia,24.4
Turkmenistan,22.3
Tuvalu,28.7
Uganda,27.0
Ukraine,14.5
United Arab Emirates,31.8
United Kingdom of Great Britain and Northern Ireland,13.0
United States,8.1
Uruguay,14.9
Uzbekistan,20.9
Vanuatu,24.0
Venezuela,23.0
Vietnam,25.2
Yemen,23.2
Zambia,26.9
Zimbabwe,25.8
