country,average_monthly_cost,average_income
Afghanistan,960.5449999999998,191.46333333333334
Albania,518.9164285714286,368.73499999999996
Algeria,356.0455,262.6710344827586
Andorra,1257.4599999999998,2842.183333333333
Angola,740.635,1428.77
Argentina,503.73125,443.3729411764706
Armenia,1347.52,376.08000000000004
Aruba,1513.0549999999998,1509.46
Australia,1870.925,3521.6008333333334
Austria,1517.2375,2255.341538461538
Azerbaijan,410.8633333333334,269.77375
Bahamas,2080.87,1817.33
Bahrain,1504.4450000000002,3434.2999999999997
Bangladesh,265.08625,207.382
Barbados,1182.33,1333.33
Belarus,545.1325,445.6557142857143
Belgium,1420.4464285714287,2372.9812
Belize,736.4425,822.9233333333333
Bermuda,4596.655,5973.81
Bhutan,406.305,442.03999999999996
Bolivia,600.57125,376.40250000000003
Bosnia And Herzegovina,525.1894444444445,557.0876923076922
Botswana,633.945,726.9033333333333
Brazil,567.8301960784314,374.81844827586207
Brunei,1057.45,1630.8600000000001
Bulgaria,577.4528125,657.9032142857143
Cambodia,773.6125000000001,273.088
Cameroon,483.095,229.7775
Canada,1757.8511875,2965.9993750000003
Cape Verde,507.68,317.3
Chile,782.9659090909091,644.0495
China,667.4233750000001,834.22390625
Colombia,412.55823529411765,277.6665217391304
Congo,3337.605,579.2520000000001
Costa Rica,789.4725,812.1800000000001
Croatia,835.6169230769231,874.4979999999999
Cuba,996.2350000000001,189.79166666666666
Curacao,1298.7450000000001,914.93
Cyprus,1336.57,1457.82
Czech Republic,1085.8925,1219.3444444444447
Denmark,1684.9137500000002,3174.0825
Dominica,806.3,487.69
Dominican Republic,823.6816666666667,346.55625
Ecuador,671.301,527.8688888888888
Egypt,267.58625,144.31722222222223
Estonia,809.7568749999999,1074.9527272727273
Ethiopia,1016.96,214.73666666666668
Fiji,669.54,1236.1499999999999
Finland,1276.3040909090907,2634.5546153846153
France,1319.2734615384616,2444.526380952381
French Polynesia,1681.02,1427.58
Gabon,1449.5300000000002,461.85
Gambia,360.775,75.27
Georgia,1011.415,399.008
Germany,1371.1502439024391,2659.1657142857143
Ghana,529.2175,191.54500000000002
Gibraltar,2307.85,3385.92
Greece,949.047142857143,830.72625
Guatemala,719.6233333333333,519.2475
Guinea,903.325,800.0
Guyana,748.245,410.92
Honduras,702.6816666666667,573.135
Hong Kong,2950.9300000000003,2994.43
Hungary,644.7327083333333,748.5055263157894
Iceland,1910.4266666666665,2935.78
India,279.6502272727273,433.375785123967
Indonesia,457.0665625,282.97999999999996
Iran,1553.201923076923,419.2537837837838
Iraq,621.224375,792.6705555555556
Ireland,1983.3174999999999,2577.673333333333
Isle Of Man,1668.2350000000001,4608.5
Israel,1813.793,2511.749090909091
Italy,1183.7369680851064,1493.185894039735
Ivory Coast,1001.595,131.96
Jamaica,763.2625,683.8425
Japan,1205.4,2329.926590909091
Jersey,2568.515,2893.88
Jordan,617.6899999999999,584.385
Kazakhstan,473.11749999999995,313.6485714285714
Kenya,435.08600000000007,369.65125
Kosovo (Disputed Territory),548.9783333333334,390.365
Kuwait,1358.53,2458.185
Kyrgyzstan,496.09,252.22000000000003
Laos,927.8700000000001,312.04
Latvia,865.1291666666666,899.0066666666667
Lebanon,1248.77,601.79
Liberia,2113.385,2592.0
Libya,352.75333333333333,296.814
Liechtenstein,2377.705,8313.4175
Lithuania,857.71,968.63125
Luxembourg,2328.59,4075.2233333333334
Madagascar,721.6199999999999,153.495
Malawi,714.45,413.825
Malaysia,564.72,720.8104545454545
Maldives,1405.6499999999999,800.51
Malta,1376.9399999999998,1421.67125
Marshall Islands,2195.8900000000003,1050.0
Martinique,1160.46,2094.32
Mauritania,701.48,517.4
Mauritius,520.5799999999999,532.65
Mexico,720.9504081632653,630.1877777777778
Moldova,399.65000000000003,275.91333333333336
Monaco,6790.835,5589.37
Mongolia,420.21500000000003,231.14499999999998
Montenegro,800.95875,603.0411111111111
Morocco,474.76375,361.8136
Mozambique,1580.3300000000002,261.03
Namibia,765.515,682.5350000000001
Nepal,277.13874999999996,190.505
Netherlands,1826.7151612903226,3155.3819512195123
New Caledonia,1589.27,2501.94
New Zealand,1472.5493333333332,3383.9655
Nicaragua,555.03,271.865
Niger,1144.6049999999998,211.51
Nigeria,1229.408,132.615
North Macedonia,440.39708333333334,376.24894736842106
Norway,1770.698,3278.3345
Oman,1100.21,1839.1850000000002
Pakistan,227.355,154.27033333333333
Panama,961.1349999999999,751.735
Papua New Guinea,3002.38,401.85
Paraguay,614.9699999999999,302.8533333333333
Peru,590.495,391.8546153846154
Philippines,622.0938095238095,283.12836363636364
Poland,853.6701428571428,912.0735555555555
Portugal,1074.16640625,1075.9365116279068
Puerto Rico,2199.83,1794.593
Qatar,1988.7600000000002,5462.753333333334
Reunion,1191.3100000000002,1159.12
Romania,601.5911666666667,626.0411428571429
Russia,774.0392857142857,640.3590291262135
Rwanda,677.4250000000001,414.52
Saint Helena,1206.73,837.08
Saudi Arabia,901.7116666666667,2355.35875
Senegal,1216.08,441.77
Serbia,555.6665789473684,480.5657142857143
Seychelles,1491.71,597.42
Singapore,3434.5750000000003,4619.45
Sint Maarten,1831.9999999999998,2343.7200000000003
Slovakia,887.8055,907.272
Slovenia,984.7454166666666,1156.7085714285715
Somalia,605.18,378.33500000000004
South Africa,807.2349999999999,1191.6586206896552
South Korea,904.8475,2071.3935
Spain,1142.1048181818182,1645.7730666666666
Sri Lanka,244.798,126.77888888888889
Sudan,843.38,148.57
Suriname,813.595,234.55
Swaziland,728.01,532.25
Sweden,1244.9235416666668,2505.828571428571
Switzerland,2593.175,5760.711351351351
Syria,424.8675,48.43666666666667
Taiwan,801.5558333333333,1416.8672727272726
Tajikistan,582.27,147.89499999999998
Tanzania,604.1725,246.23166666666668
Thailand,602.2233333333334,513.3513333333334
Togo,639.955,535.47
Trinidad And Tobago,837.8475,733.822
Tunisia,283.08892857142854,287.0278947368421
Turkey,359.521375,317.466
Turkmenistan,2617.4,439.68333333333334
Uganda,473.2325000000001,121.08333333333333
Ukraine,437.64362068965517,355.79749999999996
United Arab Emirates,2851.18,3310.7520000000004
United Kingdom,1738.7716981132075,2737.6005833333334
United States,2307.896906354515,3992.94552
Uruguay,909.28875,686.8399999999999
Uzbekistan,418.35,242.04142857142855
Venezuela,573.7760000000001,193.14
Vietnam,539.5516666666666,443.18666666666667
Zambia,688.5800000000002,396.94
Zimbabwe,671.9625000000001,311.11
