Country,Health Care Index
Afghanistan,24.24
Aland Islands,79.72
Albania,48.21
Alderney,100.0
Algeria,54.43
American Samoa,0.0
Andorra,75.56
Angola,36.58
Anguilla,77.08
Antigua And Barbuda,30.56
Argentina,68.0
Armenia,58.07
Aruba,78.7
Australia,73.35
Austria,77.83
Azerbaijan,48.31
Bahamas,39.52
Bahrain,66.6
Bangladesh,42.2
Barbados,71.88
Belarus,48.5
Belgium,75.76
Belize,47.37
Benin,51.39
Bermuda,70.61
Bhutan,73.28
Bolivia,45.98
Bonaire,0.0
Bosnia And Herzegovina,55.62
Botswana,61.12
Brazil,59.21
British Virgin Islands,0.0
Brunei,75.37
Bulgaria,58.15
Burkina Faso,49.31
Burundi,34.44
Cambodia,50.71
Cameroon,45.53
Canada,68.82
Cape Verde,67.71
Cayman Islands,62.28
Central African Republic,41.67
Chad,44.21
Chile,63.52
China,68.53
Colombia,68.44
Comoros,0.0
Cook Islands,0.0
Costa Rica,64.29
Croatia,64.66
Cuba,59.3
Curacao,50.35
Cyprus,57.13
Czech Republic,75.47
Democratic Republic of the Congo,25.69
Denmark,78.5
Djibouti,0.0
Dominica,36.57
Dominican Republic,58.26
Ecuador,75.39
Egypt,47.32
El Salvador,51.67
Equatorial Guinea,42.59
Eritrea,55.56
Estonia,75.93
Eswatini,61.11
Ethiopia,53.46
Falkland Islands,0.0
Faroe Islands,65.08
Fiji,48.18
Finland,77.57
France,77.78
French Guiana,55.56
French Polynesia,96.3
French Southern Territories,38.89
Gabon,31.48
Gambia,66.67
Georgia,56.34
Germany,71.97
Ghana,57.38
Gibraltar,67.13
Greece,58.2
Greenland,51.39
Grenada,65.28
Guadeloupe,93.06
Guam,36.19
Guatemala,67.33
Guernsey,61.11
Guinea,100.0
Guinea-Bissau,51.39
Guyana,37.65
Haiti,32.72
Honduras,37.83
Hong Kong (China),66.06
Hungary,54.07
Iceland,67.63
India,65.43
Indonesia,60.84
Iran,52.62
Iraq,45.9
Ireland,51.38
Isle Of Man,72.61
Israel,73.34
Italy,65.13
Ivory Coast,44.44
Jamaica,51.52
Japan,79.81
Jersey,53.94
Jordan,65.23
Kazakhstan,60.65
Kenya,61.54
Kiribati,55.56
Kosovo (Disputed Territory),68.47
Kuwait,57.93
Kyrgyzstan,57.62
Laos,34.44
Latvia,62.4
Lebanon,63.69
Lesotho,55.56
Liberia,38.89
Libya,45.45
Liechtenstein,70.37
Lithuania,74.95
Luxembourg,75.24
Macao (China),51.0
Madagascar,39.32
Malawi,37.5
Malaysia,70.37
Maldives,45.94
Mali,18.52
Malta,52.12
Marshall Islands,0.0
Martinique,75.0
Mauritania,46.76
Mauritius,65.18
Mexico,72.39
Micronesia,53.47
Moldova,52.12
Monaco,75.0
Mongolia,51.63
Montenegro,41.05
Montserrat,0.0
Morocco,46.87
Mozambique,41.15
Myanmar,48.6
Namibia,65.07
Nauru,0.0
Nepal,57.7
Netherlands,79.47
New Caledonia,54.17
New Zealand,68.61
Nicaragua,61.57
Niger,30.56
Nigeria,48.17
Niue,0.0
North Korea,34.13
North Macedonia,55.12
Northern Mariana Islands,44.44
Norway,75.65
Oman,65.11
Pakistan,59.38
Palau,0.0
Palestine,52.36
Panama,60.66
Papua New Guinea,23.86
Paraguay,64.52
Peru,56.28
Philippines,67.2
Poland,57.92
Portugal,72.42
Puerto Rico,58.5
Qatar,73.45
Republic of the Congo,68.52
Reunion,71.3
Romania,56.51
Russia,61.41
Rwanda,72.87
Saint Helena,69.44
Saint Kitts And Nevis,50.0
Saint Lucia,49.9
Saint Vincent And The Grenadines,31.94
Saint-Pierre And Miquelon,0.0
Samoa,55.56
San Marino,83.33
Sao Tome And Principe,86.11
Saudi Arabia,61.71
Senegal,48.38
Serbia,51.96
Seychelles,63.19
Sierra Leone,31.25
Singapore,71.9
Sint Maarten,56.48
Slovakia,58.6
Slovenia,66.26
Solomon Islands,45.14
Somalia,40.49
South Africa,63.83
South Korea,82.78
South Sudan,23.61
Spain,77.26
Sri Lanka,71.36
Sudan,46.78
Suriname,42.62
Sweden,68.43
Switzerland,71.5
Syria,37.11
Taiwan,86.5
Tajikistan,61.9
Tanzania,42.14
Thailand,77.36
Timor-Leste,52.69
Togo,54.17
Tonga,62.27
Trinidad And Tobago,54.09
Tunisia,57.17
Turkey,71.22
Turkmenistan,49.83
Turks And Caicos Islands,54.63
Tuvalu,100.0
Uganda,50.05
Ukraine,55.74
United Arab Emirates,70.63
United Kingdom,72.92
United States,67.86
Uruguay,68.57
Us Virgin Islands,45.37
Uzbekistan,61.82
Vanuatu,40.51
Vatican City,100.0
Venezuela,38.69
Vietnam,61.32
Wallis And Futuna,0.0
Western Sahara,0.0
Yemen,25.31
Zambia,54.44
Zimbabwe,44.8
