country,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
afghanistan,0.2286060825263,0.5469255663430421,0.0019000292312189426,0.08588957055214719,0.0
albania,0.09090783562444378,0.6796116504854368,0.22852966968722596,0.5521472392638036,0.40946361462248043
algeria,0.04012524865771604,0.6990291262135923,0.03890675241157557,0.43098159509202455,0.5157157499145884
angola,0.16003891220433897,0.8381877022653722,0.0575270388775212,0.22085889570552147,0.2107960368978476
argentina,0.0861731499554131,0.44983818770226536,0.26351943876059636,0.2653374233128834,0.7475230611547659
armenia,0.3492635366454437,0.5566343042071197,0.16805027769657996,0.8987730061349695,0.5778954560983942
australia,0.5124593885046863,0.3624595469255663,0.2258403975445776,0.5122699386503067,0.8389135633754696
austria,0.40218086068308373,0.43365695792880254,0.28418591055247006,0.785276073619632,0.9154424325247692
azerbaijan,0.057217257728915824,0.576051779935275,0.19318912598655363,0.75,0.41117184830884873
bahamas,0.5779195066132039,0.7799352750809061,0.19497223034200528,0.3650306748466258,0.2610181072770756
bahrain,0.39819220384008586,0.9223300970873786,0.2502776965799474,0.8619631901840492,0.7236077895456097
bangladesh,0.011764472034971107,0.9288025889967636,0.14583455130078923,0.29294478527607354,0.3067987700717459
barbados,0.29775787130287285,0.8543689320388349,0.2751534638994446,0.5490797546012269,0.8138025281858556
belarus,0.09908191517887767,0.35275080906148865,0.21791873721134172,0.47392638036809814,0.4144174923129484
belgium,0.3720017424970625,0.38187702265372164,0.3316574101140018,0.4800613496932516,0.8800819952169456
belize,0.158731705339827,0.7055016181229773,0.1301373867290266,0.4294478527607361,0.3951144516569866
bolivia,0.11636752389920242,0.5436893203883495,0.12940660625548087,0.24079754601226994,0.37137000341646736
bosnia & herzegovina,0.09286374007534391,0.47572815533980584,0.0887459807073955,0.5981595092024539,0.5360437307823709
botswana,0.12677334264565576,0.8446601941747572,0.036159017831043555,0.4294478527607361,0.6299965835326271
brazil,0.10615897758134192,0.7961165048543689,0.5402806197018416,0.2484662576687116,0.5973693201229928
brunei,0.25882072324318256,0.8705501618122977,0.21841566793335282,0.7883435582822087,0.8734198838401093
bulgaria,0.10915927579024827,0.5372168284789643,0.24603916983338206,0.6840490797546013,0.5792620430474889
cambodia,0.17032118158405102,0.948220064724919,0.12943583747442267,0.450920245398773,0.4521694567816878
cameroon,0.07973883924395585,0.8058252427184466,0.0166325635779012,0.23312883435582815,0.36368295182781013
canada,0.47720336849358624,0.1553398058252427,0.6858520900321544,0.5368098159509203,0.7615305773829859
chile,0.1732375418870265,0.31715210355987056,0.8076585793627593,0.30981595092024533,0.6709941920054663
china,0.13721178310187643,0.46601941747572817,0.7057585501315404,0.8696319018404908,0.7565766996925178
colombia,0.057745722243599654,0.39805825242718446,0.47635194387605967,0.303680981595092,0.7550392893747864
costa rica,0.17526627421879382,0.5663430420711973,0.33896521484945924,0.4079754601226993,0.6841475913905022
croatia,0.1896539442498248,0.49190938511326854,0.2632855890090617,0.8466257668711656,0.6904680560300649
cuba,0.2397340999370171,0.7281553398058251,0.0,0.7101226993865031,0.5989067304407243
cyprus,0.3458493648705109,0.802588996763754,0.27474422683425903,0.7300613496932518,0.5618380594465324
czech republic,0.2676889954540069,0.37540453074433655,0.2248757673194972,0.8312883435582823,0.8751281175264776
denmark,0.45446173009646984,0.3495145631067961,0.735223618824905,0.8389570552147239,0.926887598223437
dominican republic,0.18593257296557975,0.7605177993527508,0.12312189418298744,0.30981595092024533,0.581141100102494
ecuador,0.13842081304057718,0.31067961165048547,0.3133878982753581,0.2791411042944785,0.8737615305773829
egypt,0.012543963307786815,0.86084142394822,0.23762057877813503,0.5122699386503067,0.39426033481380257
estonia,0.18159087153360226,0.313915857605178,0.2607132417421807,0.8742331288343559,0.8829859924837717
ethiopia,0.24619608258865933,0.6407766990291262,0.019263373282665888,0.460122699386503,0.4991458831568159
finland,0.3270586647966434,0.3042071197411003,0.4190879859690149,0.8266871165644172,0.9110010249402116
france,0.3404563645582347,0.4174757281553398,0.8404560070154925,0.38803680981595096,0.9145883156815853
georgia,0.2444671709455541,0.5533980582524272,0.11248173048816136,0.834355828220859,0.5483430133242229
germany,0.35663136420402686,0.4110032362459547,0.27214264834843616,0.6334355828220859,0.8153399385035873
ghana,0.09411967373613285,0.8899676375404529,0.14033908213972524,0.5414110429447854,0.5661086436624532
greece,0.2250210908067245,0.7216828478964401,0.18205203156971647,0.5260736196319018,0.580116159890673
guatemala,0.15348754788674718,0.5145631067961165,0.17795966091786028,0.3527607361963189,0.7360778954560983
guyana,0.16241168363879,0.7766990291262135,0.263227126571178,0.22085889570552147,0.2290741373419884
honduras,0.14820519536129945,0.5663430420711973,0.1872551885413622,0.1334355828220859,0.23214895797745133
hungary,0.1301369124454616,0.482200647249191,0.6199064600993862,0.7208588957055215,0.5095661086436625
iceland,0.524775870276023,0.1488673139158576,0.854486992107571,0.843558282208589,0.7412025965152031
india,0.016305469307602016,0.9385113268608414,0.17079801227711194,0.5582822085889572,0.7036214554151008
indonesia,0.07162326329344416,0.8349514563106796,0.08520900321543409,0.5322085889570551,0.6252135292107961
